date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2021-01-01,1.8,-1.4,3.3,0,0,,,,,66
2021-01-02,3.1,2.1,4,0,0,206,8.4,,1013.6,0
2021-01-03,2.1,0.8,3.2,3.5,0,41,15.5,,1015.7,0
2021-01-04,1.2,0.6,2,0.3,0,50,15.7,,1017.3,0
2021-01-05,1.7,0.9,3,0.3,0,44,14.9,,1017.7,0
2021-01-06,1.3,0.1,3,1.5,0,337,12.1,,1015.2,0
2021-01-07,0.7,0.2,1.2,2.3,20,244,12.3,,1011.6,0
2021-01-08,0.9,0.3,1.7,0.7,0,307,8.5,,1014.1,0
2021-01-09,0.9,-0.2,1.7,0,0,276,6.2,,1022.5,6
2021-01-10,2,0.9,3.4,0,0,223,10.4,,1024,0
2021-01-11,2.1,0.5,4.3,18.7,0,223,22.3,,1017.3,0
2021-01-12,4,0.9,6.3,6,0,267,19.5,,1006.5,24
2021-01-13,1.8,0.6,3.5,2.1,0,269,21.9,,1012.1,0
2021-01-14,0.5,-0.6,1.3,0,0,15,10.6,,1019.1,0
2021-01-15,-0.4,-1,0.2,0,0,1,8.6,,1026.4,0
2021-01-16,-0.3,-1.4,0.6,0.3,0,232,7.7,,1025,0
2021-01-17,-0.2,-1.8,2.6,1.8,10,176,8.8,,1017.9,0
2021-01-18,3.9,2.3,4.9,1.5,0,243,17.6,,1019.9,0
2021-01-19,5.8,3.8,8.6,21.6,0,225,25.6,,1008.2,0
2021-01-20,8.1,5.3,10.7,0.1,0,207,23.8,,1000.3,114
2021-01-21,7.9,5.4,11.4,6.7,0,200,27.9,,992,84
2021-01-22,5.1,-0.4,10.5,0,0,224,19.9,,991.3,126
2021-01-23,2.3,-1,5.6,1,0,197,10.5,,995.9,90
2021-01-24,1.4,-0.3,2.9,6.1,10,298,10.5,,996.3,18
2021-01-25,0.1,-2.2,3.1,6.2,10,225,7.5,,1003.9,222
2021-01-26,1.9,0.7,3.6,0,0,266,14.2,,1012.9,66
2021-01-27,2.2,0.3,5.2,4.5,0,214,13.6,,1012,0
2021-01-28,3.1,1.3,5.5,5.6,0,44,10.5,,1004.9,0
2021-01-29,4.9,0.7,9,16.8,0,194,15.1,,994.7,0
2021-01-30,-0.4,-2.7,1.2,0,0,43,12.4,,1002.9,6
2021-01-31,-2.3,-6.5,1.5,0,0,91,8.5,,1004.1,450
2021-02-01,0.6,-1.4,2.7,1,0,127,10.4,,996.1,0
2021-02-02,3.3,0.5,9.3,10.9,0,208,9.9,,1001.1,0
2021-02-03,8.2,6.4,9.6,10.6,0,228,13.9,,997.7,0
2021-02-04,5.5,-1,7.7,0,0,250,14.8,,1011,42
